ms,ax,ay,az,gx,gy,gz,roll_x100,pitch_x100
1467, 584, 354, 3318, -78, -26, 39, 660, -160
1477, 588, 488, 3481, -61, -1, 7, 659, -162
1487, 615, 403, 3504, 100, 46, -17, 665, -162
1497, 518, 363, 3389, 39, 63, -33, 666, -158
1507, 508, 412, 3302, 74, 62, -23, 671, -154
1517, 498, 365, 3332, 128, 62, -34, 678, -150
1527, 483, 355, 3266, 93, 56, -16, 683, -146
1537, 473, 391, 3250, 37, 25, 14, 685, -144
1547, 451, 467, 3328, 25, 12, 10, 688, -142
1557, 477, 398, 3297, 12, 17, 5, 689, -141
1567, 496, 469, 3403, 35, 25, -1, 692, -139
1577, 467, 462, 3342, 29, 26, -6, 695, -137
1587, 476, 451, 3326, -40, 24, 9, 694, -135
1597, 489, 450, 3346, -76, 18, 15, 690, -134
1607, 456, 483, 3320, -27, 15, 4, 690, -132
1617, 443, 432, 3281, -26, 0, 8, 690, -131
1627, 484, 372, 3289, -64, -7, 16, 685, -131
1637, 508, 400, 3203, -131, -41, 35, 677, -134
1647, 523, 477, 3346, -216, -50, 54, 666, -138
1657, 513, 495, 3465, -151, -29, 19, 659, -141
1667, 503, 457, 3395, -119, -7, -17, 653, -141
1677, 501, 396, 3378, -164, 14, -46, 644, -141
1687, 519, 374, 3337, -110, 12, -39, 637, -140
1697, 486, 353, 3288, -182, 3, -10, 625, -140
1707, 502, 360, 3360, -192, -17, 3, 613, -141
1717, 513, 396, 3447, -203, -21, 17, 602, -143
1727, 537, 286, 3415, -184, -3, 7, 589, -144
1737, 584, 384, 3391, -111, 4, 2, 583, -146
1747, 525, 348, 3379, -185, 10, 7, 572, -146
1757, 517, 317, 3306, -263, 7, 4, 556, -146
1767, 496, 321, 3338, -299, -7, -4, 538, -147
1777, 341, 524, 3042, -525, -76, 50, 514, -147
1787, 311, -28, 3667, -679, -69, 133, 464, -146
1797, 476, 288, 3299, -671, -93, 44, 424, -152
1807, 541, 179, 3376, -519, -68, 38, 392, -157
1817, 575, 247, 3373, -498, -65, 13, 363, -162
1827, 498, 311, 3214, -434, -56, -17, 340, -166
1837, 412, 149, 3203, -338, -26, -25, 320, -165
1847, 551, 219, 3052, -637, -191, 1, 284, -178
1857, 495, 214, 3393, -628, -148, -8, 249, -186
1867, 527, 153, 3365, -612, -122, -15, 213, -193
1877, 473, 61, 3221, -611, -143, -10, 176, -200
1887, 472, 44, 3365, -524, -132, 4, 145, -207
1897, 565, 28, 3327, -620, -201, 31, 107, -220
1907, 625, -34, 3471, -463, -171, 5, 79, -232
1917, 675, -161, 3383, -455, -157, 55, 48, -244
1927, 662, -53, 3405, -450, -111, 66, 21, -253
1937, 640, -121, 3462, -361, -64, 60, -1, -259
1947, 636, -37, 3457, -206, -55, -21, -12, -263
1957, 587, -68, 3394, -201, -7, -46, -23, -264
1967, 590, -54, 3432, -234, 10, -89, -36, -263
1977, 594, -2, 3303, -207, 13, -127, -45, -263
1987, 590, -29, 3411, -195, 12, -126, -54, -262
